Otro.17,count
,384
ESPERO ME DEN UNA PRONTA SOLUCION,8
ESPERO UNA PRONTA SOLUCION,5
VENGO A SOLICITAR COPIA DE LA FACTURA,2
ME ESTAN HACIENDO UNOS COBROS QUE DESCONOZCO,2
ESPERO ME DEN UNA PRONTA RESPUESTA,2
Espero me den pronta solucion,1
Estoy en espera ,1
En espera por motivo de atención.,1
ESPERO NO ME DEMOREN EN MI TRAMITE YA QUE NO ES GRAN COSA,1
No información.,1
SOLO SOLICITE INFORMACION DE LA RECONEXION DEL SERVICIO,1
NO ME DIERON UNA SOLUCION EFECTIVA A MI PETICION,1
CONSIDERO QUE EL ALZA EN EL SERVICIO DE ACUEDUCTO ASEO Y ALCANTARILLADO ES EXCESIVAMENTE EXAGERADO,1
ESPERO ME RESUELVAN MIS PETICIONES,1
NO SE QUE CLASE DE GENTE CONTRATAN PARA ESTAFARLO A UNO METIENDOLE DEUDAS DE LA NADA,1
NECESITO ME NORMALIZEN EL SERVICIO PARA PODER PAGAR LA FACTURA YA QUE EN MI BARRIO NO AY MEDIDORES,1
ESPERO LE RETIREN ESE SERVICIO NO AUTORIZADO A MI VECINA,1
ME ESTA LLEGANDO EL RECIBO MUY COSTOSO Y ESTAMOS EN CORTES DE AGUA SEMANALES,1
ME DEJARON SIN GAS Y LO UNICO QUE HACEN ES PEDIRNOS PLATA,1
